regija,id,ime_oglasa,vrsta_nepremicnine,tip_nepremicnine,zemljisce,velikost,cena,agencija
dolenjska ,6285570,KOROŠKA VAS,Posest,Zazidljiva,,697.0,23000.0,NNRN nepremičnine d.o.o. Novo mesto
dolenjska ,5465657,KOROŠKA VAS,Posest,Zazidljiva,,800.0,30000.0,Kapitelj nepremičnine d.o.o.
dolenjska ,6305376,KOROŠKA VAS,Posest,Zazidljiva,,2089.0,21500.0,NNRN nepremičnine d.o.o. Novo mesto
dolenjska ,6369866,KOT OB KOLPI,Vikend,Bivalen,,213.0,330000.0,"ELO d.o.o., PE Ljubljana"
dolenjska ,6369862,KOT OB KOLPI,Počitniški objekt,Hiša,,213.0,330000.0,"ELO d.o.o., PE Ljubljana"
dolenjska ,6193509,KOT PRI RIBNICI,Hiša,Samostojna,,160.0,79000.0,"RE/MAX Ljubljana, Nepremičninska družba d.o.o. "
dolenjska ,6273733,KOT PRI SEMIČU,Vikend,Bivalen,,50.0,27000.0,Nepremičnine Lara d.o.o.
dolenjska ,6344397,"KOT PRI SEMIČU, BLIZU ŽELEŽNIŠKE POSTAJE SEMIČ",Vikend,Bivalen,,55.0,27000.0,Zasebna ponudba
dolenjska ,6312891,KRIŠKA REBER,Hiša,Samostojna,,132.0,139000.0,NNRN nepremičnine d.o.o. Novo mesto
dolenjska ,6312882,KRIŠKA REBER,Posest,Zazidljiva,,817.0,27000.0,NNRN nepremičnine d.o.o. Novo mesto
dolenjska ,5765300,"KRIŠKA REBER, NAD TREBNJEM",Posest,Kmetijsko zemljišče,,1100.0,5000.0,Prenova Marko Bele s.p. Novo mesto
dolenjska ,6368216,KRIŽE,Vikend,Bivalen,,75.0,68000.0,Prenova Marko Bele s.p. Novo mesto
dolenjska ,6353759,KRIŽE,Hiša,Samostojna,,120.8,110000.0,"Nepremičnine in svetovanje Juršič, Blaž Juršič s.p."
dolenjska ,6251850,"KRIŽE, VINORODNI OKOLIŠ",Vikend,Zidan,,40.0,20000.0,Zasebna ponudba
dolenjska ,6342016,KRIŽNI VRH,Hiša,Samostojna,,104.83,110000.0,Kristal nepremičnine d.o.o.
dolenjska ,6210922,KUŽELJ,Posest,Zazidljiva,,550.0,30000.0,"PBO nepremičnine, Most inženiring d.o.o."
dolenjska ,6370191,LAZE PRI PREDGRADU,Vikend,Lesen,,53.2,80000.0,"RE/MAX Ljubljana, Nepremičninska družba d.o.o. "
dolenjska ,6363496,LAZE PRI PREDGRADU,Vikend,Bivalen,,55.0,82000.0,Zasebna ponudba
dolenjska ,6125401,LAZEC,Hiša,Samostojna,,87.85,88000.0,"Bamba nepremičnine, Tanko Franc s.p."
dolenjska ,6187577,LAZEC,Hiša,Samostojna,,408.0,88000.0,Nepremičnine Land d.o.o.
dolenjska ,6176219,"LAZEC, LOŠKI POTOK",Poslovni prostor,Gostinski lokal,,1649.0,88000.0,"Bamba nepremičnine, Tanko Franc s.p."
